Year,States,State_Case_Count,State_Population,State_Incidence,Sex,Sex_Incidence,Sex_Cases,State_Sex_Cases,State_Sex_Population,State_Sex_Incidence,Age_Category,Age_Population,Age_Incidence,Age_Case_Count,State_Sex_Age_CaseCount,State_Sex_Age_Population,State_Sex_Age_Incidence
2016,Delaware,20,952065,2.1,Female,5.04,6490,7.982779828,483362.7499,1.651509106,<1 year,3058322,3.4,104,0.051086647,5827.072224,0.876712097
2016,Delaware,20,952065,2.1,Female,5.04,6490,7.982779828,483362.7499,1.651509106,1-4 years,12301119,13.06,1607,0.789386941,23437.52844,3.368046863
2016,Delaware,20,952065,2.1,Female,5.04,6490,7.982779828,483362.7499,1.651509106,5-14 years,31642189,6.04,1911,0.938717141,60288.39364,1.557044538
2016,Delaware,20,952065,2.1,Female,5.04,6490,7.982779828,483362.7499,1.651509106,15-24 years,33918142,5.54,1880,0.92348939,64624.80508,1.429001432
2016,Delaware,20,952065,2.1,Female,5.04,6490,7.982779828,483362.7499,1.651509106,25-39 years,51193436,6.76,3461,1.700104669,97539.71261,1.742987163
2016,Delaware,20,952065,2.1,Female,5.04,6490,7.982779828,483362.7499,1.651509106,40-64 years,82019887,6.46,5297,2.601980478,156273.867,1.665013178
2016,Delaware,20,952065,2.1,Female,5.04,6490,7.982779828,483362.7499,1.651509106,65+ years,39558446,5.03,1991,0.978014561,75371.37093,1.297594231
2016,District of Columbia,58,681170,8.51,Male,7.82,9770,34.849938,335340.6722,10.39239821,<1 year,3058322,3.4,104,0.223025879,4042.624958,5.516858004
2016,District of Columbia,58,681170,8.51,Male,7.82,9770,34.849938,335340.6722,10.39239821,1-4 years,12301119,13.06,1607,3.446178719,16260.16184,21.19400012
2016,District of Columbia,58,681170,8.51,Male,7.82,9770,34.849938,335340.6722,10.39239821,5-14 years,31642189,6.04,1911,4.098100518,41826.04152,9.797964064
2016,District of Columbia,58,681170,8.51,Male,7.82,9770,34.849938,335340.6722,10.39239821,15-24 years,33918142,5.54,1880,4.03162165,44834.49662,8.992231327
2016,District of Columbia,58,681170,8.51,Male,7.82,9770,34.849938,335340.6722,10.39239821,25-39 years,51193436,6.76,3461,7.4220439,67669.74244,10.96803923
2016,District of Columbia,58,681170,8.51,Male,7.82,9770,34.849938,335340.6722,10.39239821,40-64 years,82019887,6.46,5297,11.35930845,108417.5055,10.47737485
2016,District of Columbia,58,681170,8.51,Male,7.82,9770,34.849938,335340.6722,10.39239821,65+ years,39558446,5.03,1991,4.269658886,52290.0993,8.165329466
2016,District of Columbia,58,681170,8.51,Female,5.04,6490,23.1500615,345829.5435,6.694067044,<1 year,3058322,3.4,104,0.148151277,4169.071215,3.553579897
